stocks,weights
OPTT,0.07915040026261629
FNKO,0.03554037645186421
WMG,1.2366681029912785e-17
SDC,0.04736062236498911
CIIC,0.0
TWST,0.019740493803883208
AKTX,0.0
CVCO,6.667843360785852e-18
FARO,0.0
BBQ,0.12218649758832772
FNLC,0.0
TSLA,0.1949071617192805
FEYE,0.03849014947293824
ACCD,0.018306177531814044
IFRX,0.0
ATEC,0.15916234298233586
EXAS,0.1452901274408787
NMRK,0.0
NVCR,0.10763069403024987
FRTA,0.03223495635082264
